text,label
gg wp everyone good game,0
nice jg gank that was clean,0
ff15 this team is hopeless,1
report mid he is inting so hard,1
let's group mid and take baron,0
why are you inting you troll,1
good luck have fun all,0
jg diff is real this game,1
nice macro play team well done,0
uninstall the game you are trash,1
ward the river please thanks,0
ff15 jg never ganks useless,1
gj on the dragon steal,0
you are the worst player ever,1
let's keep calm and play safe,0
stop feeding and just ff,1
great teamfight everyone gg,0
kys you ruined the game,1
nice rotation to bot lane,0
mid is inting report him now,1
help bot we can win this,0
trash support never roams,1
well played that was close,0
ff15 surrender already please,1
good ward coverage this game,0
you int every single game,1
let's push together for towers,0
delete the game noob jg,1
gg easy game well played,0
report adc afk farming inting,1
nice peel for the carry,0
you are so bad uninstall,1
great vision control team,0
ff this is unwinnable jg diff,1
good engage onto their backline,0
worst teammates ever reported,1
clean baron call gg,0
stop inting and group up,1
nice flank to win the fight,0
you throw every game troll,1
